dc (V),/NM0/D w 1e-06 vds 0.5  (A),/NM0/D w 1e-06 vds 0.7222222  (A),/NM0/D w 1e-06 vds 0.9444444  (A),/NM0/D w 1e-06 vds 1.166667  (A),/NM0/D w 1e-06 vds 1.388889  (A),/NM0/D w 1e-06 vds 1.611111  (A),/NM0/D w 1e-06 vds 1.833333  (A),/NM0/D w 1e-06 vds 2.055556  (A),/NM0/D w 1e-06 vds 2.277778  (A),/NM0/D w 1e-06 vds 2.5  (A),/NM0/D w 7e-06 vds 0.5  (A),/NM0/D w 7e-06 vds 0.7222222  (A),/NM0/D w 7e-06 vds 0.9444444  (A),/NM0/D w 7e-06 vds 1.166667  (A),/NM0/D w 7e-06 vds 1.388889  (A),/NM0/D w 7e-06 vds 1.611111  (A),/NM0/D w 7e-06 vds 1.833333  (A),/NM0/D w 7e-06 vds 2.055556  (A),/NM0/D w 7e-06 vds 2.277778  (A),/NM0/D w 7e-06 vds 2.5  (A),/NM0/D w 1.3e-05 vds 0.5  (A),/NM0/D w 1.3e-05 vds 0.7222222  (A),/NM0/D w 1.3e-05 vds 0.9444444  (A),/NM0/D w 1.3e-05 vds 1.166667  (A),/NM0/D w 1.3e-05 vds 1.388889  (A),/NM0/D w 1.3e-05 vds 1.611111  (A),/NM0/D w 1.3e-05 vds 1.833333  (A),/NM0/D w 1.3e-05 vds 2.055556  (A),/NM0/D w 1.3e-05 vds 2.277778  (A),/NM0/D w 1.3e-05 vds 2.5  (A),/NM0/D w 1.9e-05 vds 0.5  (A),/NM0/D w 1.9e-05 vds 0.7222222  (A),/NM0/D w 1.9e-05 vds 0.9444444  (A),/NM0/D w 1.9e-05 vds 1.166667  (A),/NM0/D w 1.9e-05 vds 1.388889  (A),/NM0/D w 1.9e-05 vds 1.611111  (A),/NM0/D w 1.9e-05 vds 1.833333  (A),/NM0/D w 1.9e-05 vds 2.055556  (A),/NM0/D w 1.9e-05 vds 2.277778  (A),/NM0/D w 1.9e-05 vds 2.5  (A),/NM0/D w 2.5e-05 vds 0.5  (A),/NM0/D w 2.5e-05 vds 0.7222222  (A),/NM0/D w 2.5e-05 vds 0.9444444  (A),/NM0/D w 2.5e-05 vds 1.166667  (A),/NM0/D w 2.5e-05 vds 1.388889  (A),/NM0/D w 2.5e-05 vds 1.611111  (A),/NM0/D w 2.5e-05 vds 1.833333  (A),/NM0/D w 2.5e-05 vds 2.055556  (A),/NM0/D w 2.5e-05 vds 2.277778  (A),/NM0/D w 2.5e-05 vds 2.5  (A)
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
500.0E-3,-7.344E-6,-7.344E-6,-7.344E-6,-7.344E-6,-7.344E-6,-7.344E-6,-7.344E-6,-7.344E-6,-7.344E-6,-7.344E-6,-52.40E-6,-52.40E-6,-52.40E-6,-52.40E-6,-52.40E-6,-52.40E-6,-52.40E-6,-52.40E-6,-52.40E-6,-52.40E-6,-104.9E-6,-104.9E-6,-104.9E-6,-104.9E-6,-104.9E-6,-104.9E-6,-104.9E-6,-104.9E-6,-104.9E-6,-104.9E-6,-152.7E-6,-152.7E-6,-152.7E-6,-152.7E-6,-152.7E-6,-152.7E-6,-152.7E-6,-152.7E-6,-152.7E-6,-152.7E-6,-200.5E-6,-200.5E-6,-200.5E-6,-200.5E-6,-200.5E-6,-200.5E-6,-200.5E-6,-200.5E-6,-200.5E-6,-200.5E-6
550.0E-3,-7.406E-6,-7.406E-6,-7.406E-6,-7.406E-6,-7.406E-6,-7.406E-6,-7.406E-6,-7.406E-6,-7.406E-6,-7.406E-6,-52.84E-6,-52.84E-6,-52.84E-6,-52.84E-6,-52.84E-6,-52.84E-6,-52.84E-6,-52.84E-6,-52.84E-6,-52.84E-6,-105.9E-6,-105.9E-6,-105.9E-6,-105.9E-6,-105.9E-6,-105.9E-6,-105.9E-6,-105.9E-6,-105.9E-6,-105.9E-6,-154.0E-6,-154.0E-6,-154.0E-6,-154.0E-6,-154.0E-6,-154.0E-6,-154.0E-6,-154.0E-6,-154.0E-6,-154.0E-6,-202.2E-6,-202.2E-6,-202.2E-6,-202.2E-6,-202.2E-6,-202.2E-6,-202.2E-6,-202.2E-6,-202.2E-6,-202.2E-6
600.0E-3,-7.447E-6,-7.447E-6,-7.447E-6,-7.447E-6,-7.447E-6,-7.447E-6,-7.447E-6,-7.447E-6,-7.447E-6,-7.447E-6,-53.13E-6,-53.13E-6,-53.13E-6,-53.13E-6,-53.13E-6,-53.13E-6,-53.13E-6,-53.13E-6,-53.13E-6,-53.13E-6,-106.4E-6,-106.4E-6,-106.4E-6,-106.4E-6,-106.4E-6,-106.4E-6,-106.4E-6,-106.4E-6,-106.4E-6,-106.4E-6,-154.9E-6,-154.9E-6,-154.9E-6,-154.9E-6,-154.9E-6,-154.9E-6,-154.9E-6,-154.9E-6,-154.9E-6,-154.9E-6,-203.4E-6,-203.4E-6,-203.4E-6,-203.4E-6,-203.4E-6,-203.4E-6,-203.4E-6,-203.4E-6,-203.4E-6,-203.4E-6
650.0E-3,-7.477E-6,-7.477E-6,-7.477E-6,-7.477E-6,-7.477E-6,-7.477E-6,-7.477E-6,-7.477E-6,-7.477E-6,-7.477E-6,-53.34E-6,-53.34E-6,-53.34E-6,-53.34E-6,-53.34E-6,-53.34E-6,-53.34E-6,-53.34E-6,-53.34E-6,-53.34E-6,-106.9E-6,-106.9E-6,-106.9E-6,-106.9E-6,-106.9E-6,-106.9E-6,-106.9E-6,-106.9E-6,-106.9E-6,-106.9E-6,-155.5E-6,-155.5E-6,-155.5E-6,-155.5E-6,-155.5E-6,-155.5E-6,-155.5E-6,-155.5E-6,-155.5E-6,-155.5E-6,-204.2E-6,-204.2E-6,-204.2E-6,-204.2E-6,-204.2E-6,-204.2E-6,-204.2E-6,-204.2E-6,-204.2E-6,-204.2E-6
700.0E-3,-7.500E-6,-7.500E-6,-7.500E-6,-7.500E-6,-7.500E-6,-7.500E-6,-7.500E-6,-7.500E-6,-7.500E-6,-7.500E-6,-53.51E-6,-53.51E-6,-53.51E-6,-53.51E-6,-53.51E-6,-53.51E-6,-53.51E-6,-53.51E-6,-53.51E-6,-53.51E-6,-107.2E-6,-107.2E-6,-107.2E-6,-107.2E-6,-107.2E-6,-107.2E-6,-107.2E-6,-107.2E-6,-107.2E-6,-107.2E-6,-156.0E-6,-156.0E-6,-156.0E-6,-156.0E-6,-156.0E-6,-156.0E-6,-156.0E-6,-156.0E-6,-156.0E-6,-156.0E-6,-204.8E-6,-204.8E-6,-204.8E-6,-204.8E-6,-204.8E-6,-204.8E-6,-204.8E-6,-204.8E-6,-204.8E-6,-204.8E-6
750.0E-3,-7.520E-6,-7.520E-6,-7.520E-6,-7.520E-6,-7.520E-6,-7.520E-6,-7.520E-6,-7.520E-6,-7.520E-6,-7.520E-6,-53.65E-6,-53.65E-6,-53.65E-6,-53.65E-6,-53.65E-6,-53.65E-6,-53.65E-6,-53.65E-6,-53.65E-6,-53.65E-6,-107.5E-6,-107.5E-6,-107.5E-6,-107.5E-6,-107.5E-6,-107.5E-6,-107.5E-6,-107.5E-6,-107.5E-6,-107.5E-6,-156.4E-6,-156.4E-6,-156.4E-6,-156.4E-6,-156.4E-6,-156.4E-6,-156.4E-6,-156.4E-6,-156.4E-6,-156.4E-6,-205.4E-6,-205.4E-6,-205.4E-6,-205.4E-6,-205.4E-6,-205.4E-6,-205.4E-6,-205.4E-6,-205.4E-6,-205.4E-6
800.0E-3,-7.537E-6,-7.537E-6,-7.537E-6,-7.537E-6,-7.537E-6,-7.537E-6,-7.537E-6,-7.537E-6,-7.537E-6,-7.537E-6,-53.78E-6,-53.78E-6,-53.78E-6,-53.78E-6,-53.78E-6,-53.78E-6,-53.78E-6,-53.78E-6,-53.78E-6,-53.78E-6,-107.7E-6,-107.7E-6,-107.7E-6,-107.7E-6,-107.7E-6,-107.7E-6,-107.7E-6,-107.7E-6,-107.7E-6,-107.7E-6,-156.8E-6,-156.8E-6,-156.8E-6,-156.8E-6,-156.8E-6,-156.8E-6,-156.8E-6,-156.8E-6,-156.8E-6,-156.8E-6,-205.9E-6,-205.9E-6,-205.9E-6,-205.9E-6,-205.9E-6,-205.9E-6,-205.9E-6,-205.9E-6,-205.9E-6,-205.9E-6
850.0E-3,-7.552E-6,-7.552E-6,-7.552E-6,-7.552E-6,-7.552E-6,-7.552E-6,-7.552E-6,-7.552E-6,-7.552E-6,-7.552E-6,-53.88E-6,-53.88E-6,-53.88E-6,-53.88E-6,-53.88E-6,-53.88E-6,-53.88E-6,-53.88E-6,-53.88E-6,-53.88E-6,-108.0E-6,-108.0E-6,-108.0E-6,-108.0E-6,-108.0E-6,-108.0E-6,-108.0E-6,-108.0E-6,-108.0E-6,-108.0E-6,-157.1E-6,-157.1E-6,-157.1E-6,-157.1E-6,-157.1E-6,-157.1E-6,-157.1E-6,-157.1E-6,-157.1E-6,-157.1E-6,-206.3E-6,-206.3E-6,-206.3E-6,-206.3E-6,-206.3E-6,-206.3E-6,-206.3E-6,-206.3E-6,-206.3E-6,-206.3E-6
900.0E-3,-7.566E-6,-7.566E-6,-7.566E-6,-7.566E-6,-7.566E-6,-7.566E-6,-7.566E-6,-7.566E-6,-7.566E-6,-7.566E-6,-53.98E-6,-53.98E-6,-53.98E-6,-53.98E-6,-53.98E-6,-53.98E-6,-53.98E-6,-53.98E-6,-53.98E-6,-53.98E-6,-108.2E-6,-108.2E-6,-108.2E-6,-108.2E-6,-108.2E-6,-108.2E-6,-108.2E-6,-108.2E-6,-108.2E-6,-108.2E-6,-157.4E-6,-157.4E-6,-157.4E-6,-157.4E-6,-157.4E-6,-157.4E-6,-157.4E-6,-157.4E-6,-157.4E-6,-157.4E-6,-206.7E-6,-206.7E-6,-206.7E-6,-206.7E-6,-206.7E-6,-206.7E-6,-206.7E-6,-206.7E-6,-206.7E-6,-206.7E-6
950.0E-3,-7.579E-6,-7.579E-6,-7.579E-6,-7.579E-6,-7.579E-6,-7.579E-6,-7.579E-6,-7.579E-6,-7.579E-6,-7.579E-6,-54.07E-6,-54.07E-6,-54.07E-6,-54.07E-6,-54.07E-6,-54.07E-6,-54.07E-6,-54.07E-6,-54.07E-6,-54.07E-6,-108.4E-6,-108.4E-6,-108.4E-6,-108.4E-6,-108.4E-6,-108.4E-6,-108.4E-6,-108.4E-6,-108.4E-6,-108.4E-6,-157.7E-6,-157.7E-6,-157.7E-6,-157.7E-6,-157.7E-6,-157.7E-6,-157.7E-6,-157.7E-6,-157.7E-6,-157.7E-6,-207.0E-6,-207.0E-6,-207.0E-6,-207.0E-6,-207.0E-6,-207.0E-6,-207.0E-6,-207.0E-6,-207.0E-6,-207.0E-6
